Date,ACB.VN,BCM.VN,BID.VN,CTG.VN,DGC.VN,FPT.VN,GAS.VN,GVR.VN,HDB.VN,HPG.VN,LPB.VN,MBB.VN,MSN.VN,MWG.VN,PLX.VN,SAB.VN,SHB.VN,SSB.VN,SSI.VN,STB.VN,TCB.VN,TPB.VN,VCB.VN,VHM.VN,VIB.VN,VIC.VN,VJC.VN,VNM.VN,VPB.VN,VRE.VN,^VNINDEX
2023-07-17,15171.796875,77737.5234375,33509.38671875,18162.525390625,64462.40625,56672.734375,67233.3203125,21111.83984375,9910.7021484375,20681.818359375,10722.9990234375,11707.2431640625,80700.0,47129.3984375,37469.80078125,63118.36328125,8404.87890625,25617.2578125,22567.880859375,28000.0,14600.45703125,12996.158203125,58926.640625,59000.0,12600.330078125,26450.0,97300.0,61870.4921875,18018.080078125,28650.0,1173.13
2023-07-18,15171.796875,77737.5234375,33872.0390625,18254.25390625,64462.40625,56457.51953125,67776.6328125,21111.83984375,9910.7021484375,20606.060546875,10823.5263671875,11707.2431640625,80700.0,47129.3984375,37469.80078125,62953.87890625,8680.9521484375,25793.3203125,22371.978515625,28000.0,14783.53515625,13494.640625,58645.5,59000.0,12692.98046875,26350.0,97300.0,61870.4921875,18018.080078125,28650.0,1174.09
2023-07-19,15171.796875,77834.6953125,33545.65234375,18284.83203125,64101.27734375,56314.046875,67165.40625,20823.951171875,10161.0927734375,20757.576171875,10924.0546875,11581.3583984375,80800.0,46984.0859375,36692.04296875,62830.5234375,8650.27734375,25793.3203125,22332.796875,28250.0,14783.53515625,13316.6103515625,59882.51171875,58500.0,12692.98046875,26050.0,96700.0,62127.2109375,18194.296875,27950.0,1172.98
2023-07-20,15171.796875,78029.0390625,33545.65234375,18131.94921875,65816.6640625,57605.32421875,67029.5859375,20632.025390625,10251.546875,21363.63671875,10890.544921875,11612.8310546875,79500.0,47565.33203125,36326.03515625,62995.00390625,8803.650390625,25793.3203125,21940.99609375,27850.0,14600.45703125,13387.822265625,59039.09375,57700.0,12662.09765625,26000.0,97800.0,62127.2109375,18502.673828125,28050.0,1172.81
2023-07-21,15240.7607421875,77348.8359375,33908.30859375,18162.525390625,65906.9453125,58107.48828125,67504.9765625,21111.83984375,10372.154296875,21515.15234375,10890.544921875,11738.71484375,83000.0,50859.06640625,37058.046875,62953.87890625,8834.3251953125,25793.3203125,22528.701171875,28750.0,14783.53515625,13352.216796875,59039.09375,59000.0,12692.98046875,26050.0,98000.0,62897.375,18855.10546875,28400.0,1185.9
2023-07-24,15206.279296875,76960.1484375,33944.5703125,18254.25390625,65274.96484375,58107.48828125,66893.765625,21303.767578125,10402.3056640625,21401.515625,10957.5634765625,11801.65625,84000.0,52796.5546875,36875.046875,63735.1484375,9121.4404296875,25881.3515625,22489.51953125,28700.0,14852.1884765625,13281.0048828125,58814.18359375,59100.0,12970.9287109375,26000.0,96800.0,62982.95703125,19251.58984375,28400.0,1190.72
2023-07-25,15378.685546875,76960.1484375,34198.4296875,18284.83203125,65274.96484375,58322.6953125,67097.5,21303.767578125,10372.154296875,21401.515625,11058.091796875,11833.1279296875,84000.0,52796.5546875,36875.046875,64968.73046875,9121.4404296875,25969.384765625,22567.880859375,28700.0,15332.767578125,13530.2470703125,60893.31640625,59100.0,12940.046875,25750.0,96800.0,62982.95703125,19251.58984375,28400.0,1195.9
2023-07-26,15378.685546875,76182.7734375,34343.4921875,18223.677734375,65004.11328125,59327.02734375,66690.03125,20727.98828125,10372.154296875,21515.15234375,10957.5634765625,11801.65625,84600.0,50955.9375,37058.046875,66449.0390625,9121.4404296875,26057.416015625,22724.599609375,28300.0,15309.8828125,13387.822265625,62022.203125,59000.0,12847.396484375,25500.0,96500.0,64180.9921875,19251.58984375,28900.0,1200.84
2023-07-27,15275.2412109375,76182.7734375,33872.0390625,17948.48828125,65004.11328125,60044.40625,66690.03125,20727.98828125,10372.154296875,21515.15234375,11058.091796875,11707.2431640625,84600.0,50955.9375,37058.046875,65873.359375,9049.0478515625,26101.431640625,23077.22265625,28300.0,15149.6904296875,13209.7939453125,61557.36328125,59000.0,12754.7470703125,25550.0,96500.0,64180.9921875,19251.58984375,28900.0,1197.33
2023-07-28,15309.72265625,75794.078125,33872.0390625,18040.21875,65545.8125,60546.5703125,67572.890625,21111.83984375,10402.3056640625,21439.39453125,10924.0546875,11770.1865234375,86100.0,53303.23828125,36646.2890625,64557.54296875,9121.4404296875,26145.447265625,23312.306640625,28650.0,15470.0771484375,13316.6103515625,61756.58203125,58900.0,12816.5126953125,25750.0,97800.0,66234.7890625,19471.86328125,28800.0,1207.67
2023-07-31,15826.9443359375,75794.078125,34234.6953125,18345.984375,65545.8125,61407.41796875,68999.0390625,21111.83984375,10462.6083984375,21363.63671875,10957.5634765625,11864.5986328125,86100.0,53303.23828125,36646.2890625,64475.30078125,9121.4404296875,25661.2734375,23233.947265625,28650.0,15698.923828125,13352.216796875,60826.91015625,58900.0,12847.396484375,27550.0,97800.0,66234.7890625,19471.86328125,28800.0,1222.9
2023-08-01,15757.98046875,75794.078125,34960.0078125,18590.59765625,65545.8125,60618.3046875,68387.8359375,21111.83984375,10583.21484375,20833.333984375,11058.091796875,11864.5986328125,86100.0,53303.23828125,36646.2890625,65133.2109375,9085.2451171875,26365.52734375,22567.880859375,28650.0,15561.6162109375,13387.822265625,60561.2890625,58900.0,12754.7470703125,29450.0,97800.0,66234.7890625,19471.86328125,28800.0,1217.56
2023-08-02,15930.3876953125,75794.078125,35612.78515625,18988.095703125,65545.8125,59900.92578125,68184.1015625,21111.83984375,10492.7607421875,20833.333984375,11225.6396484375,11896.0703125,86100.0,53303.23828125,36646.2890625,65338.8125,9157.6376953125,26629.623046875,22724.599609375,28650.0,15515.845703125,13459.03515625,60760.50390625,58900.0,12785.6298828125,29150.0,97800.0,66234.7890625,19471.86328125,28800.0,1220.43
2023-08-03,16171.755859375,75211.0546875,35213.8671875,18896.365234375,66900.0703125,60044.40625,67640.796875,20919.9140625,10372.154296875,20340.908203125,11359.6767578125,11864.5986328125,86100.0,51542.76171875,36692.04296875,66407.9140625,9157.6376953125,26629.623046875,22332.796875,28600.0,15332.767578125,13138.5810546875,60162.86328125,60100.0,12754.7470703125,29100.0,101000.0,62127.2109375,19119.431640625,28400.0,1210.95
2023-08-04,16826.90234375,75016.7109375,35105.06640625,18957.517578125,67261.203125,59757.44921875,68116.1796875,21015.876953125,10342.001953125,20719.697265625,11560.732421875,11959.01171875,86300.0,51836.17578125,36875.046875,65996.71875,9628.1865234375,25529.224609375,22881.32421875,28950.0,15378.5380859375,13494.640625,59830.8359375,63000.0,12970.9287109375,31100.0,101000.0,62469.51171875,19559.970703125,28700.0,1225.98
2023-08-07,16378.6455078125,74530.8515625,35431.4609375,19935.970703125,66719.5,60618.3046875,68523.6640625,21783.580078125,10462.6083984375,20871.212890625,12364.9580078125,12179.3095703125,88200.0,52618.609375,37058.046875,66202.3203125,9736.7763671875,26629.623046875,23273.126953125,30050.0,15721.80859375,13743.880859375,60295.671875,62900.0,13217.994140625,31950.0,101900.0,64095.4296875,19956.455078125,29600.0,1241.42
2023-08-08,16137.275390625,74530.8515625,35286.3984375,19935.970703125,67351.484375,60403.08984375,68727.3984375,21687.6171875,10462.6083984375,20606.060546875,12733.560546875,12084.896484375,89200.0,52423.0,37424.05078125,66449.0390625,9591.9921875,26673.638671875,22802.962890625,29800.0,15561.6162109375,13530.2470703125,60229.265625,62800.0,13094.4619140625,33500.0,103000.0,63753.13671875,19559.970703125,31000.0,1242.23
2023-08-09,15999.3505859375,73947.8125,34960.0078125,19874.81640625,66809.78125,59613.9765625,68591.578125,21255.783203125,10432.45703125,21060.60546875,12666.5419921875,12053.42578125,88000.0,51444.9609375,37241.05078125,66202.3203125,9519.599609375,26409.54296875,22411.16015625,31200.0,15561.6162109375,13423.4287109375,59897.2421875,60600.0,12940.046875,32900.0,101600.0,62555.08203125,19427.806640625,30900.0,1233.99
2023-08-10,15792.4599609375,71907.2109375,33726.9765625,19355.015625,66990.3515625,58968.3359375,69270.6953125,20584.04296875,10372.154296875,20719.697265625,12465.486328125,11896.0703125,83000.0,50858.1328125,37332.5546875,66037.8359375,9374.8134765625,26409.54296875,22019.35546875,30550.0,15332.767578125,13174.1875,58768.359375,60600.0,12754.7470703125,33950.0,100700.0,62555.08203125,19339.69921875,30050.0,1220.61
2023-08-11,15792.4599609375,72004.3828125,33872.0390625,19630.205078125,66177.796875,58824.859375,68931.1328125,20248.173828125,10281.69921875,20984.84765625,12465.486328125,11896.0703125,84500.0,52129.58984375,37195.296875,65585.5234375,9374.8134765625,26761.669921875,22058.537109375,31850.0,15401.421875,13281.0048828125,60030.05078125,60900.0,12692.98046875,36300.0,101100.0,62897.375,19383.75390625,30750.0,1232.21
2023-08-14,15895.9052734375,71421.3515625,34524.8203125,19752.51171875,66268.078125,59255.2890625,68319.9296875,20680.0078125,10342.001953125,21325.7578125,12633.0322265625,11927.541015625,82200.0,53009.82421875,37103.796875,64968.73046875,9374.8134765625,26189.462890625,22842.142578125,31900.0,15470.0771484375,13281.0048828125,59100.3828125,61200.0,12785.6298828125,36650.0,100200.0,62811.796875,19339.69921875,30300.0,1236.84
2023-08-15,15757.98046875,71129.8359375,34089.6328125,19813.6640625,68976.5859375,60259.61328125,68184.1015625,20584.04296875,10281.69921875,21174.2421875,12666.5419921875,11927.541015625,82400.0,52814.21484375,36920.79296875,64680.90234375,9374.8134765625,25969.384765625,22489.51953125,31500.0,15584.5,13530.2470703125,59033.9765625,61700.0,12723.8642578125,35350.0,101900.0,62298.35546875,19383.75390625,31300.0,1234.05
2023-08-16,15792.4599609375,70838.3203125,34452.2890625,19783.0859375,68344.6015625,61048.7265625,68048.2734375,20488.080078125,10342.001953125,21174.2421875,12700.05078125,11959.01171875,81800.0,52618.609375,36829.2890625,64680.90234375,9338.6181640625,25969.384765625,22607.05859375,32900.0,16156.6181640625,13601.458984375,59233.19140625,62900.0,12754.7470703125,37800.0,100800.0,62555.08203125,19736.1875,31500.0,1243.26
2023-08-17,15654.53515625,69963.765625,34162.16796875,19935.970703125,68254.3125,61694.37109375,67912.4453125,20440.099609375,10342.001953125,21287.87890625,12767.0703125,11864.5986328125,82100.0,52716.41015625,36371.78125,64022.9921875,9302.421875,25881.3515625,23469.02734375,32350.0,15882.001953125,13423.4287109375,59366.00390625,61000.0,12785.6298828125,35950.0,100000.0,62982.95703125,19515.916015625,30600.0,1233.48
