Ticker,Alpha (hang thang),Beta (B),R-Squared (R2),P-Value (Beta),SoThangQuanSat
SSI.VN,-0.0096,1.7999,0.5827,0.0000,29
GVR.VN,-0.0074,1.5740,0.4382,0.0001,29
VPB.VN,-0.0031,1.5609,0.4774,0.0000,29
TPB.VN,-0.0070,1.4196,0.5384,0.0000,29
VIC.VN,0.0556,1.3703,0.1704,0.0260,29
VHM.VN,0.0110,1.3204,0.3578,0.0006,29
TCB.VN,0.0129,1.2523,0.5948,0.0000,29
MBB.VN,0.0120,1.2465,0.4972,0.0000,29
SHB.VN,0.0080,1.1833,0.3503,0.0007,29
VIB.VN,-0.0024,1.1734,0.5460,0.0000,29
MSN.VN,-0.0161,1.1384,0.4176,0.0002,29
BCM.VN,-0.0173,1.0565,0.3030,0.0020,29
CTG.VN,0.0109,1.0313,0.5686,0.0000,29
BID.VN,-0.0073,1.0310,0.5500,0.0000,29
MWG.VN,0.0072,1.0200,0.3466,0.0008,29
HDB.VN,0.0244,0.9957,0.2772,0.0033,29
HPG.VN,-0.0044,0.9865,0.5855,0.0000,29
ACB.VN,0.0034,0.9267,0.5599,0.0000,29
VRE.VN,-0.0036,0.8902,0.2108,0.0122,29
PLX.VN,-0.0093,0.8194,0.2616,0.0046,29
STB.VN,0.0174,0.8174,0.2561,0.0051,29
VJC.VN,0.0208,0.7649,0.1030,0.0895,29
GAS.VN,-0.0054,0.7507,0.2987,0.0022,29
SAB.VN,-0.0187,0.7394,0.3348,0.0010,29
DGC.VN,-0.0031,0.6127,0.0796,0.1382,29
VCB.VN,-0.0085,0.5555,0.2645,0.0043,29
FPT.VN,0.0119,0.4770,0.0932,0.1072,29
VNM.VN,-0.0077,0.4465,0.2456,0.0063,29
LPB.VN,0.0462,0.4125,0.0410,0.2923,29
SSB.VN,-0.0166,0.3366,0.0762,0.1473,29
