,LoiSuatTB_Nam,RuiRo_Nam (Std),Sharpe_Ratio,LoiSuatTB_Thang,Min_LoiSuat_Thang,Max_LoiSuat_Thang
LPB.VN,0.5956,0.3455,1.7240,0.0496,-0.1399,0.3158
VIC.VN,0.9020,0.5659,1.5940,0.0752,-0.2456,0.4471
CTG.VN,0.3509,0.2411,1.4555,0.0292,-0.1025,0.1661
TCB.VN,0.3790,0.2730,1.3884,0.0316,-0.1768,0.2214
HDB.VN,0.4487,0.3357,1.3369,0.0374,-0.1118,0.2647
MBB.VN,0.3775,0.2996,1.2599,0.0315,-0.1240,0.3509
^VNINDEX,0.1846,0.1702,1.0846,0.0154,-0.1091,0.1196
VHM.VN,0.4183,0.3858,1.0842,0.0349,-0.1682,0.3288
STB.VN,0.2749,0.2730,1.0067,0.0229,-0.1243,0.1934
ACB.VN,0.1969,0.2083,0.9449,0.0164,-0.0827,0.2087
VJC.VN,0.3525,0.4034,0.8737,0.0294,-0.1031,0.4429
SHB.VN,0.2883,0.3361,0.8579,0.0240,-0.1084,0.3333
FPT.VN,0.2192,0.2627,0.8344,0.0183,-0.1376,0.1472
MWG.VN,0.2370,0.2926,0.8100,0.0198,-0.2833,0.1945
VIB.VN,0.1677,0.2666,0.6291,0.0140,-0.1195,0.2085
GVR.VN,0.2453,0.4183,0.5865,0.0204,-0.2685,0.2768
GAS.VN,0.1793,0.3061,0.5856,0.0149,-0.1555,0.3412
BID.VN,0.1505,0.2580,0.5832,0.0125,-0.1084,0.1838
VPB.VN,0.2099,0.3802,0.5521,0.0175,-0.1289,0.3946
TPB.VN,0.1586,0.3254,0.4874,0.0132,-0.1437,0.3312
HPG.VN,0.1042,0.2170,0.4800,0.0087,-0.1255,0.1543
SSI.VN,0.1774,0.3973,0.4465,0.0148,-0.1903,0.3846
VRE.VN,0.1281,0.3251,0.3939,0.0107,-0.1494,0.2350
PLX.VN,0.1068,0.3011,0.3545,0.0089,-0.1493,0.2181
VCB.VN,0.0662,0.2153,0.3074,0.0055,-0.1047,0.1826
DGC.VN,0.0439,0.3585,0.1225,0.0037,-0.2418,0.2389
BCM.VN,0.0316,0.3360,0.0941,0.0026,-0.2647,0.1603
MSN.VN,-0.0050,0.2960,-0.0169,-0.0004,-0.2372,0.2387
VNM.VN,-0.0219,0.1523,-0.1437,-0.0018,-0.0836,0.1111
SAB.VN,-0.1031,0.2130,-0.4839,-0.0086,-0.2179,0.1464
SSB.VN,-0.1349,0.2054,-0.6567,-0.0112,-0.1240,0.1194
